VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
1,2019-05-06 18:40:13,2019-05-06 18:40:20,N,1,132,132,1,14.9,56.0,1.0,0.5,0.0,0.0,,0.3,57.8,5,1.0,0.0
1,2019-05-10 13:00:30,2019-05-10 13:01:12,N,5,78,78,1,0.1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,5,2.0,0.0
1,2019-05-14 06:01:19,2019-05-14 06:39:18,N,1,225,197,1,11.4,38.5,0.0,0.5,0.0,0.0,,0.3,39.3,5,1.0,0.0
1,2019-05-15 12:35:50,2019-05-15 12:59:39,N,5,74,244,1,3.6,15.0,0.0,0.0,0.0,0.0,,0.0,15.0,5,2.0,0.0
1,2019-05-15 13:32:02,2019-05-15 13:46:02,N,5,244,42,1,3.0,15.0,0.0,0.0,0.0,0.0,,0.0,15.0,5,2.0,0.0
1,2019-05-16 18:32:37,2019-05-16 18:41:07,N,1,236,43,1,1.3,8.0,3.75,0.5,0.0,0.0,,0.3,12.55,5,1.0,2.75
1,2019-05-17 16:32:34,2019-05-17 17:02:49,N,1,166,42,1,2.6,18.5,1.0,0.5,0.0,0.0,,0.3,20.3,5,1.0,0.0
1,2019-05-19 11:26:52,2019-05-19 11:32:08,N,1,7,7,1,0.8,5.5,0.0,0.5,0.0,0.0,,0.3,6.3,5,1.0,0.0
1,2019-05-20 15:19:08,2019-05-20 15:31:51,N,1,243,200,2,4.8,15.5,0.0,0.5,0.0,2.8,,0.3,19.1,5,1.0,0.0
1,2019-05-22 06:08:15,2019-05-22 06:09:28,N,1,247,247,1,0.1,3.0,2.75,0.5,0.0,0.0,,0.3,6.55,5,1.0,0.0
1,2019-05-23 09:54:49,2019-05-23 10:41:59,N,1,76,33,1,9.3,35.5,0.0,0.5,0.0,0.0,,0.3,36.3,5,1.0,0.0
1,2019-05-26 03:14:21,2019-05-26 03:18:22,N,1,129,129,1,0.1,4.5,0.5,0.5,0.0,0.0,,0.3,5.8,5,1.0,0.0
1,2019-05-30 11:33:20,2019-05-30 11:34:58,N,1,260,260,1,0.1,3.0,0.0,0.5,0.0,0.0,,0.3,3.8,5,1.0,0.0
1,2020-06-21 20:05:12,2020-06-21 20:36:01,N,1,145,228,1,11.7,37.0,0.5,0.5,0.0,0.0,,0.3,38.3,5,1.0,0.0
1,2019-09-04 13:59:02,2019-09-04 14:07:40,N,1,181,49,1,1.0,7.0,0.0,0.5,0.0,0.0,,0.3,7.8,5,1.0,0.0
